Encoding,Dataset,DropFrom,Overlap
TabMinHash,fakename_5k.tsv,Eve,0.2
BloomFilter,fakename_20k.tsv,Eve,0.2
BloomFilter,euro_person.tsv,Eve,0.6
BloomFilter,fakename_20k.tsv,Both,0.4
TabMinHash,fakename_10k.tsv,Eve,0.2
TabMinHash,fakename_2k.tsv,Eve,0.6
BloomFilter,fakename_20k.tsv,Eve,0.6
TabMinHash,fakename_10k.tsv,Both,0.4
TwoStepHash,euro_person.tsv,Both,0.8
TwoStepHash,fakename_2k.tsv,Eve,0.2
BloomFilter,fakename_2k.tsv,Eve,0.2
BloomFilter,fakename_1k.tsv,Both,0.4
TabMinHash,euro_person.tsv,Both,0.4
TabMinHash,fakename_1k.tsv,Eve,0.2
TabMinHash,fakename_2k.tsv,Both,0.6
TwoStepHash,euro_person.tsv,Both,0.2
TabMinHash,euro_person.tsv,Eve,0.6
TabMinHash,titanic_full.tsv,Eve,0.4
TabMinHash,fakename_5k.tsv,Both,0.6
BloomFilter,fakename_2k.tsv,Both,0.2
TabMinHash,fakename_20k.tsv,Both,0.4
TabMinHash,titanic_full.tsv,Both,0.6
BloomFilter,euro_person.tsv,Eve,0.8
TwoStepHash,fakename_1k.tsv,Both,0.2
TabMinHash,fakename_20k.tsv,Eve,0.6
TabMinHash,fakename_5k.tsv,Eve,0.8
BloomFilter,fakename_20k.tsv,Eve,0.8
BloomFilter,euro_person.tsv,Eve,0.2
BloomFilter,titanic_full.tsv,Eve,0.2
TabMinHash,fakename_10k.tsv,Eve,0.8
TabMinHash,fakename_2k.tsv,Eve,0.2
TwoStepHash,euro_person.tsv,Both,0.4
TabMinHash,fakename_1k.tsv,Both,0.6
TwoStepHash,euro_person.tsv,Eve,0.6
TabMinHash,fakename_1k.tsv,Eve,0.8
TabMinHash,fakename_2k.tsv,Both,0.2
BloomFilter,fakename_1k.tsv,Eve,0.2
TabMinHash,euro_person.tsv,Eve,0.2
TabMinHash,fakename_5k.tsv,Both,0.2
TabMinHash,titanic_full.tsv,Both,0.2
BloomFilter,euro_person.tsv,Both,0.6
TabMinHash,fakename_20k.tsv,Eve,0.2
TabMinHash,fakename_5k.tsv,Eve,0.4
BloomFilter,fakename_20k.tsv,Eve,0.4
BloomFilter,fakename_20k.tsv,Both,0.6
TabMinHash,fakename_10k.tsv,Eve,0.4
TabMinHash,fakename_10k.tsv,Both,0.6
TabMinHash,fakename_2k.tsv,Eve,0.8
TabMinHash,fakename_1k.tsv,Both,0.2
TwoStepHash,euro_person.tsv,Eve,0.2
TabMinHash,fakename_1k.tsv,Eve,0.4
TabMinHash,titanic_full.tsv,Eve,0.6
TabMinHash,fakename_2k.tsv,Both,0.8
TabMinHash,fakename_20k.tsv,Both,0.6
TabMinHash,euro_person.tsv,Eve,0.8
TabMinHash,fakename_5k.tsv,Both,0.8
TabMinHash,titanic_full.tsv,Both,0.8
BloomFilter,euro_person.tsv,Both,0.2
TwoStepHash,fakename_1k.tsv,Eve,0.2
TabMinHash,fakename_20k.tsv,Eve,0.8
BloomFilter,euro_person.tsv,Eve,0.4
BloomFilter,fakename_20k.tsv,Both,0.2
TabMinHash,fakename_2k.tsv,Eve,0.4
TabMinHash,fakename_10k.tsv,Both,0.2
TabMinHash,fakename_1k.tsv,Both,0.8
TwoStepHash,titanic_full.tsv,Eve,0.2
TwoStepHash,fakename_2k.tsv,Both,0.2
TwoStepHash,euro_person.tsv,Eve,0.8
TabMinHash,euro_person.tsv,Both,0.2
BloomFilter,fakename_1k.tsv,Both,0.2
TabMinHash,fakename_2k.tsv,Both,0.4
TabMinHash,titanic_full.tsv,Eve,0.2
BloomFilter,fakename_1k.tsv,Eve,0.4
TabMinHash,euro_person.tsv,Eve,0.4
TabMinHash,fakename_20k.tsv,Both,0.2
TabMinHash,fakename_5k.tsv,Both,0.4
TabMinHash,euro_person.tsv,Both,0.6
TabMinHash,titanic_full.tsv,Both,0.4
TabMinHash,fakename_5k.tsv,Eve,0.6
BloomFilter,euro_person.tsv,Both,0.8
TabMinHash,fakename_20k.tsv,Eve,0.4
BloomFilter,fakename_10k.tsv,Both,0.8
TabMinHash,fakename_10k.tsv,Eve,0.6
BloomFilter,fakename_20k.tsv,Both,0.8
TabMinHash,fakename_10k.tsv,Both,0.8
TabMinHash,fakename_1k.tsv,Both,0.4
TwoStepHash,euro_person.tsv,Eve,0.4
TabMinHash,fakename_1k.tsv,Eve,0.6
TabMinHash,euro_person.tsv,Both,0.8
TwoStepHash,euro_person.tsv,Both,0.6
TabMinHash,titanic_full.tsv,Eve,0.8
TabMinHash,fakename_20k.tsv,Both,0.8
BloomFilter,euro_person.tsv,Both,0.4
