GivenName	Surname	Birthday	twostephash	uid
Maria	Taylor	6/16/1937	{628739, 459782, 229895, 173575, 1886732, 151060, 1114645, 1592863, 1252384, 794659, 202277, 1684517, 1822253, 689711, 886832, 594994, 285240, 1609790, 335937, 191052, 1957453, 555087, 861270, 312922, 1000026, 602206, 1910366, 1786464, 398433, 967267, 1986147, 1529960, 1717866, 489070, 496238, 1497198, 441462, 1612409, 1307781, 957063, 126090, 505994, 1972875, 57489, 37015, 1379479, 39072, 518823, 2222, 1090222, 86705, 769716, 1310907, 908481, 1361093, 71368, 112330, 411854, 500431, 1568469, 2019548, 117981, 1264864, 1271009, 34532, 402152, 1010921, 1302249, 1729773, 1900782, 404213, 1131766, 1260279, 436472, 1795323, 798459, 1698046, 617732, 17157, 301830, 665353, 976138, 1044234, 609554, 290579, 170264, 193818, 682778, 1443100, 590110, 678687, 1047329, 1300267, 433966, 1216816, 498996, 1598266, 958271, 1128768, 973132, 1485644, 1442126, 819535, 1701197, 1129809, 1857869, 503635, 1209171, 1928525, 1005398, 1730917, 687463, 1970023, 1290745, 1783665, 979826, 1387894, 1273207, 1408888, 1371513, 796540, 104319, 1087360, 1735554, 1951619, 105863, 1922953, 1320331, 386956, 592275, 1579924, 718743, 834971, 550813, 1893789, 709538, 1565091, 552871, 900521, 1277359, 2002352, 1695665, 270774, 889790, 1225665, 744402, 1836499, 259541, 286682, 1418206, 934887, 1147370, 1923562, 1769968, 1522, 183799, 2003449, 1406974}	96463
Rene	Miles	2/14/1970	{1934853, 849414, 332297, 1198091, 1886732, 235022, 1955354, 178715, 1625117, 88097, 408105, 1672233, 910381, 1743406, 221743, 1854005, 392246, 285240, 1816127, 417346, 1687619, 474187, 555087, 1620048, 284243, 203350, 1746518, 1402456, 312922, 1124955, 1307228, 1096797, 22624, 550502, 541799, 732774, 1140838, 1354854, 1529960, 127086, 494195, 730739, 1090169, 1560197, 1973386, 1360011, 891021, 1057933, 1216141, 1335949, 81044, 355490, 518823, 758441, 138930, 1099449, 69308, 668349, 1143997, 204992, 1156290, 1601748, 599770, 1026784, 132321, 142048, 38627, 724193, 1631460, 1609953, 228583, 1789160, 1010921, 324332, 152815, 706806, 1393398, 435960, 1019131, 798459, 543997, 1664252, 301830, 310024, 1313544, 1646344, 525071, 248593, 608529, 1134870, 1136407, 244505, 157466, 143650, 1308969, 501560, 1252152, 604475, 2023739, 1603902, 1758536, 1743177, 1806664, 315213, 1837397, 1816921, 564570, 1526623, 971617, 1091941, 1589609, 157547, 1657195, 1387894, 507773, 1735554, 618884, 1922953, 1320331, 295828, 1866136, 1889186, 243114, 1296304, 1497522, 1103283, 709557, 337846, 1439669, 1271736, 889790, 1461186, 1066947, 797641, 1331657, 328652, 1337293, 1836499, 456665, 1419741, 1260510, 907743, 1830367, 1543649, 2032617, 1147370, 150507, 1553905, 2003449}	52283
Raymond	Young	11/12/1993	{1319937, 1601541, 1686538, 1499156, 1185825, 576037, 740392, 1790509, 1357359, 886832, 1027635, 1967670, 1954871, 285240, 1816127, 1339974, 764492, 555087, 1510995, 1110103, 1304151, 312922, 394333, 897629, 1209438, 1294432, 464995, 1011300, 33894, 1908326, 1529960, 1497198, 254067, 1392755, 1573495, 987768, 376954, 1058436, 1571972, 957063, 1084552, 54409, 1034891, 1317517, 1559184, 1671314, 1789084, 706205, 1622688, 625313, 1146019, 1252003, 518823, 540328, 548521, 1569448, 2222, 753840, 1478328, 1150652, 1298108, 1024191, 1361093, 1982152, 1278153, 820947, 1951963, 401628, 2019548, 142048, 1638112, 2024162, 659687, 875244, 263405, 1729773, 224495, 798459, 1535745, 1714947, 301830, 976647, 531729, 1666833, 943891, 299284, 1725201, 244505, 140059, 448796, 1877789, 1711399, 1760553, 1300267, 501550, 207151, 572207, 1252152, 577338, 260412, 105279, 441664, 512319, 958271, 534341, 1626952, 1758536, 1227082, 674125, 1928525, 503635, 302932, 1719636, 1501528, 2034520, 310619, 327004, 2030941, 971617, 1307497, 875883, 1081707, 16238, 752495, 1345390, 1929584, 1244019, 1387894, 1466742, 1371513, 1735554, 456579, 131972, 634244, 1513860, 1922953, 552331, 1261965, 1717645, 181137, 1439633, 1752977, 1579924, 984981, 266648, 1708954, 193443, 645542, 552871, 160681, 900521, 113070, 1857454, 853936, 683954, 438710, 649143, 101818, 889790, 1766334, 528834, 1920457, 41932, 1812429, 1585105, 1836499, 1620440, 1734108, 1419741, 851934, 1830367, 323040, 721378, 295913, 934381, 83953, 2003449, 92157}	89309
Gary	Roach	6/25/1980	{98310, 1886732, 390163, 1609247, 1158176, 1775648, 426030, 236592, 1870388, 14394, 67648, 335937, 1064513, 474183, 1490503, 784457, 1136714, 1882185, 555087, 1268815, 938067, 1637973, 246870, 312922, 1765468, 395357, 543326, 602206, 1389152, 1786464, 782434, 1432163, 979045, 1529960, 366702, 1497198, 34418, 1959026, 1708149, 1573495, 628345, 1090170, 126090, 191630, 865422, 2031761, 1087637, 1303704, 1708703, 1027233, 518823, 1921194, 1395380, 868022, 1150652, 1856193, 58562, 1113798, 644808, 764620, 500431, 1390292, 332503, 920282, 1260768, 286438, 1010921, 1110762, 799467, 792300, 316142, 589039, 861934, 1346294, 436472, 1592572, 292094, 496386, 301830, 824070, 209161, 672524, 1172244, 1177366, 1728790, 160536, 682778, 321832, 1308969, 481069, 1252152, 382269, 567102, 1633087, 1563969, 388418, 1598273, 1626952, 189261, 1442126, 1129809, 2008916, 540505, 971100, 1907038, 620388, 1664873, 61294, 1313653, 434038, 1552761, 386426, 1735554, 237955, 1951619, 2020226, 1063307, 1320331, 181137, 616852, 909717, 1822102, 1895828, 1602456, 834971, 528799, 1934753, 1041319, 1379239, 1310634, 1372079, 1712059, 375801, 889790, 1259970, 772563, 1836499, 582616, 734680, 1240027, 916444, 1405918, 1376226, 1418213, 1147370, 936429, 1493999, 304627, 1777651, 1235447, 2003449}	69330
Herman	Thomas	11/28/1938	{996362, 1161227, 1527824, 1511957, 1545246, 1252384, 1533984, 1354292, 21557, 1954871, 285240, 1282105, 1220664, 1548345, 1213502, 1299019, 644684, 1011789, 134734, 555087, 570454, 861270, 101464, 312922, 712284, 1197661, 1432668, 234591, 1294432, 1500262, 1908326, 1529960, 176235, 496238, 1025134, 1261168, 1497198, 223859, 423027, 441462, 987768, 258685, 105599, 1058436, 1273480, 1550985, 505994, 2031761, 1303704, 706205, 39072, 1608867, 141991, 518823, 540328, 1814700, 1942199, 501944, 364729, 1842875, 1150652, 2042558, 59584, 2035905, 1181893, 864458, 30926, 1568469, 1213143, 1167580, 1224414, 761055, 1302249, 1259, 1271019, 1386731, 127731, 404213, 1416951, 348413, 218366, 301830, 672524, 1635600, 1666833, 473365, 160536, 157466, 936732, 74017, 1047329, 1680162, 1374503, 321832, 329001, 1308969, 1300267, 1090349, 272686, 209716, 739124, 805173, 709946, 260412, 958271, 574273, 927554, 534341, 1579845, 363849, 1305929, 1759049, 315213, 1928525, 302932, 310619, 137568, 620388, 1730917, 300390, 1591142, 26474, 875883, 16238, 752495, 1296752, 1664366, 1918322, 1387894, 1371513, 2025339, 1428349, 669566, 499073, 1735554, 1098629, 1937797, 1922953, 1063307, 1087884, 1320331, 1323917, 1717645, 359824, 1210768, 984981, 1763736, 1622937, 201629, 550813, 920478, 887714, 193443, 1565091, 552871, 269224, 637863, 900521, 924590, 402864, 1770416, 298420, 121269, 684984, 1413051, 889790, 1383359, 816577, 1225665, 1812429, 1131982, 1836499, 784349, 1419741, 1768931, 729066, 450027, 1147370, 678381, 1988074, 1071088, 799736, 2003449}	76710
Beatrice	Bourassa	3/7/1984	{1257472, 755203, 1745932, 1553424, 193042, 390163, 1003033, 231961, 1998875, 1545246, 1252384, 590881, 833058, 898081, 1533984, 1790509, 277040, 249393, 1450545, 406071, 285240, 1220664, 14394, 1701438, 651329, 1847874, 1628227, 531524, 1053252, 1245764, 1529930, 1951306, 191052, 644684, 555087, 1824848, 1918032, 1739859, 451670, 312922, 1765468, 394333, 395357, 871007, 596075, 1497198, 1261168, 650354, 721522, 1392755, 1708149, 1367674, 966267, 1760382, 1929343, 187524, 370822, 313479, 1034891, 1972875, 1897620, 1827990, 1431703, 1509528, 101021, 629406, 682655, 518823, 1235623, 1562279, 1953959, 738992, 501426, 602290, 769716, 480438, 1994425, 1128636, 1493694, 489663, 1024191, 1375938, 299203, 1082057, 1388234, 1358028, 1314509, 1556180, 1916120, 34532, 120036, 453350, 125672, 1010921, 1110762, 1281258, 1748712, 224495, 1531120, 1159411, 861944, 798459, 1698046, 544513, 1535745, 23300, 617732, 301830, 976647, 1225991, 1519366, 1341708, 1959417, 1750799, 1875217, 564499, 467224, 293657, 1097498, 666908, 2001180, 678687, 29472, 35107, 917797, 1711399, 520495, 1865529, 1284410, 1684283, 382269, 711998, 359743, 112448, 786752, 1308990, 1398590, 973132, 189261, 1857869, 819535, 842581, 1005398, 199003, 1297245, 379230, 1117023, 1121631, 574819, 867176, 610669, 752495, 1783665, 182642, 979826, 407413, 625017, 614270, 1735554, 456579, 1045892, 1922953, 994698, 1320331, 1323917, 592275, 1574295, 438683, 811420, 1255841, 637863, 269224, 113070, 1821103, 1770416, 806321, 1695665, 1914801, 123829, 330680, 1839032, 889790, 908734, 540608, 1855422, 528834, 795588, 900037, 730567, 1470409, 1762763, 477132, 950734, 1836499, 1620440, 1846747, 1148893, 463838, 773598, 1419741, 872929, 718823, 1468391, 1147370, 25067, 1923562, 1180660, 2003449}	84387
Craig	Freeman	4/26/1981	{215552, 1929217, 849414, 1070601, 599050, 613387, 1198091, 1886732, 1059344, 164369, 1527824, 390163, 1252384, 1857058, 1672233, 362541, 285240, 166968, 14394, 2023995, 500284, 995905, 155203, 1137220, 474187, 191052, 644684, 555087, 1426002, 356435, 1867858, 861270, 312922, 1091675, 1432668, 394333, 395357, 1096797, 1765468, 1786464, 1354854, 1529960, 496238, 1046638, 1497198, 650354, 502899, 1708149, 441462, 1090169, 628345, 1644666, 105599, 505994, 1973386, 1216141, 634510, 1585297, 1010322, 2031761, 81044, 1897620, 1303704, 1703580, 39072, 625313, 1608867, 131239, 518823, 1221805, 1535149, 936114, 1332402, 243380, 69308, 1150652, 1024191, 371905, 1156290, 2000587, 739536, 115412, 1568469, 1026784, 1210598, 228583, 350440, 1302249, 1110762, 1748712, 224495, 754, 1159411, 404213, 1324278, 436472, 1841914, 798459, 1664252, 543997, 218366, 1840891, 968451, 301830, 1199368, 672524, 160536, 157466, 682778, 84764, 143650, 1875750, 321832, 329001, 1015080, 19755, 1308969, 1651504, 209716, 1955636, 382269, 1743177, 1882443, 966988, 189261, 315213, 2006352, 1129809, 1819478, 2017115, 620388, 1730917, 90479, 765295, 730993, 1712497, 1387894, 1735554, 1838468, 1937797, 1922953, 1063307, 1320331, 178577, 909204, 723350, 1790359, 1822102, 1565091, 1559462, 957866, 1244589, 113070, 1296304, 832434, 1868211, 709557, 618426, 889790, 528834, 1068995, 1357251, 539078, 58313, 1337293, 713678, 1836499, 1898966, 1620440, 456665, 638941, 907743, 1201633, 1416163, 1418213, 1012710, 706535, 1147370, 879087, 839157, 1893365, 1235447, 2003449, 728570, 1406974}	67102
Amanda	Lawson	8/27/1965	{1645568, 1654275, 1745932, 376336, 1527824, 272405, 1719832, 162842, 217116, 1104415, 1158176, 1252384, 1512491, 1778732, 970797, 1269293, 1357359, 801846, 285240, 1003579, 1143867, 2023995, 644684, 2008652, 134734, 555087, 632398, 1011281, 451670, 861270, 713816, 312922, 818267, 1432668, 1592927, 1975903, 1980512, 701029, 1305702, 620135, 1529960, 176235, 596075, 496238, 1497198, 1404533, 441462, 106109, 32383, 957063, 2022535, 505994, 1984651, 107660, 1151116, 1559184, 2031761, 322194, 1798803, 389268, 1610389, 446107, 629406, 39072, 1390752, 1146019, 1252003, 1608867, 518823, 906920, 1031851, 1018035, 480438, 1263286, 1478328, 1130690, 1156290, 1278153, 885450, 764620, 685263, 1613009, 820947, 727253, 1568469, 1367260, 1241310, 1302249, 875244, 691949, 404213, 583414, 798459, 301830, 672524, 943891, 160536, 157466, 544539, 635165, 1454367, 2036514, 329001, 1308969, 1177901, 572207, 209716, 355125, 739124, 501560, 1849144, 824637, 1647935, 977732, 1824072, 159561, 1420617, 464722, 1088854, 1501528, 432985, 1061213, 2017119, 1102177, 1727330, 1099621, 1730917, 867176, 26474, 626033, 348531, 1244019, 1387894, 1428349, 1735554, 1045892, 1678724, 1922953, 1063307, 1320331, 1439633, 893844, 1755543, 1763736, 222618, 201629, 147870, 751007, 1153437, 1565091, 170413, 477617, 1271218, 298420, 1601462, 1373624, 1621947, 889790, 795588, 58313, 1303498, 1470409, 41932, 1819599, 618449, 1210833, 1585105, 1836499, 1838041, 549339, 1846747, 1419741, 1938914, 1994722, 929258, 1915371, 1182193, 592373, 988662, 2003449, 313854}	54954
Judy	Martinez	12/5/1989	{1601541, 319498, 1686538, 1285138, 390163, 697887, 311845, 576037, 670250, 1593387, 1407025, 1967670, 285240, 2004026, 14394, 446524, 796219, 246332, 1816127, 335937, 417346, 1137220, 784457, 1882185, 1162830, 555087, 515664, 861270, 1746518, 101464, 2021975, 1008732, 395357, 602206, 740959, 868450, 380006, 550502, 1529960, 618601, 496238, 1497198, 730739, 1708149, 392822, 1215607, 441462, 105599, 1057412, 1313929, 126090, 505994, 1317517, 192142, 1335949, 962715, 1789084, 1622688, 118945, 543394, 1492641, 518823, 540328, 1569448, 1839275, 165548, 753840, 139955, 433337, 340155, 650429, 1805503, 971969, 58562, 1940673, 1113798, 644808, 500431, 872655, 433875, 1390292, 1568469, 1575124, 1951963, 142048, 1609953, 740578, 659687, 1010921, 1110762, 1302249, 1425643, 152815, 1871089, 404213, 798459, 1270523, 1714947, 301830, 310024, 1197323, 81164, 738584, 27929, 244505, 1559836, 29472, 1175328, 462114, 1824549, 1308969, 1760553, 207151, 657207, 1252152, 1662265, 260412, 382269, 1947454, 727873, 388418, 1598273, 1758536, 1882443, 189261, 1442126, 1069913, 971617, 1730917, 367981, 82286, 1929584, 980340, 1764724, 1387894, 1466742, 1488759, 1907060, 2031484, 507773, 1326463, 1682816, 1735554, 1951619, 131972, 634244, 1922953, 1258890, 1320331, 1544077, 1439633, 2007955, 909717, 1471898, 263067, 834971, 294305, 1934753, 1565091, 160681, 1931695, 853936, 1551280, 889790, 1812429, 1836499, 811991, 804312, 1939420, 348125, 1260510, 1419741, 1830367, 990182, 1234918, 295913, 1147370, 536047, 1537519, 1800176, 1342972}	92639
Stephanie	Hershman	8/28/1983	{449027, 144388, 201736, 2035209, 996362, 1527824, 390163, 1083924, 1024533, 564248, 1104415, 1252384, 439333, 1077797, 1437221, 1394730, 1749553, 1093682, 1162291, 905268, 285240, 1548345, 14394, 69179, 1003579, 2023995, 1350212, 1303626, 191052, 134734, 621138, 345172, 861270, 1170518, 101464, 312922, 818267, 712284, 395357, 547421, 234591, 984156, 1432668, 1907297, 1614951, 1529960, 1064041, 176235, 496238, 1025134, 223859, 1708149, 441462, 1090169, 493690, 705150, 646271, 105599, 1307781, 1091718, 505994, 1635466, 198803, 1765525, 555676, 556701, 39072, 664737, 317602, 1110178, 1379489, 1608867, 518823, 540328, 1039528, 211116, 554162, 1922230, 1159866, 1150652, 1215165, 2042558, 2035905, 123074, 979655, 2032840, 961737, 1483481, 1224414, 1570531, 1302249, 1992942, 1371376, 1568498, 127731, 404213, 841975, 1416951, 1965817, 348413, 218366, 1230077, 301830, 1002249, 1644297, 1809163, 672524, 1968395, 364306, 473365, 160536, 157466, 703771, 1470750, 676639, 1814303, 74017, 276776, 321832, 329001, 272686, 209716, 739124, 805173, 1897780, 260412, 382269, 927554, 1218371, 159561, 1305929, 189261, 1508686, 632150, 84824, 255834, 2017115, 249180, 1061213, 1074525, 16735, 1102177, 750947, 1730917, 26474, 954220, 1664366, 624502, 1387894, 207224, 916347, 970108, 1428349, 499073, 1735554, 1149827, 1336708, 1937797, 998283, 1063307, 1320331, 1582476, 1504150, 279450, 550813, 1386397, 833953, 784290, 1565091, 267691, 1145259, 924590, 1770416, 1497522, 2017715, 298420, 994229, 1729972, 1011127, 1413051, 889790, 533445, 220102, 58313, 699849, 1126346, 1812429, 1836499, 520155, 1727451, 1419741, 892384, 1069539, 242149, 230888, 153577, 1147370, 331755, 1500136, 678381, 1071088, 1704948, 239606, 1235447, 799736, 2003449, 1521659, 622589}	5051
