GivenName	Surname	Birthday	bloomfilter	uid
Darlene	Santana	2/5/1994	0000110000000101001000000010100100100000110010000110100100000000001100000110000100011001000010100000000000100010001011000000000000000000000000000001000000000001000000010000010101000001000100001001010001000000100100000000001100001100100100100000010100001000001001010001000000000000100000100100000000010011000000110000100010001000010000100000101110000000000101110000010000100100000000010010000000101000100100000000100000000001000000000001000000100011010000000000010100000000000000101000000000100011000000010000000000000000010000100100010010000000100000000000101000000100000000010000110100000000000110100000000001100001000110100000000000000100010000000100000011000101100000101000001010010001000000000010000000000010000001000000000000000011110000000100010000001001000001000000000000010010100000010010000000000000100000101001000000001001101000000000000100010000000000000100000100010000000000000000001001000000010010010100000000000100000001010001000000000000101100110000000000010000000000001000000100000001000000111101000000000001	23425
Laura	Houck	8/25/1991	1000010000000000000000000100000000100100100010000100001101000000000000000000100000000010000010100000000110000010001001000000000000000000000000000000000000001001000100001001100000000001000001000001100100000000001000101010001001000000100000010100000000000100000000000000000001000000110000000111000100000000000000100000010011000000000000100000011010000100000000010000010001100010000001100010000100100001000010100011000000000100111010110100000000001010000010001000110000001001000000000000011000100010000000010100000000011011010000100100100010000000100101000100100010000000000000000010100001010000000000100000000001000100001000000000000000000101000000100000000000010000011010000000000011010000000000000100000100001000000000000101010100000111000100100100001100000001000000000100001000000000100000010000000100000000110000000000100000000000011000000100001000001001100000000100001010000001000000000000100100000001010010000000001001000000000010100000000000100001000000000000001001010000000001011000000000000100000000011000000000000000	87639
Norman	Hopper	8/28/1949	0000000010000010000000011010001000000000100010100000000100000000000100001011001100000100000000100001000100110010100000000000000000001000000110000000000000010101000000000100000101010001000001100000010100001000100000001000001000001100000101000001100000000000010000000000000001000000100000110100000000000011000100010000110011000001000001000000111001000000000000000000000001000000000000101000001101100000000000101000001000000001010010000100001010001000000000000100010011000000000001000000100011100011010001010100001010100001010000110000010000100000000000000000010001000000000000000000011000000101000000100000000000011000001000000100000001000000000000100100010000110000000010010000000001010000010000100100000100000010000100001111110000110111000100000100001000000011100000000000100000010000010000010001000000000000010010001011000000000010001000000000010010010001000000000100000000100000000000000001000000000000110010000001000100100000000000000000010000000000000110100100010000010000000101000000101000010001010001000001000100000000	60559
Pearl	Lavergne	9/2/1965	0010001001000001001000011000000100001000110010010100001110001000000100010110000011000100000010100000000010110010000010000000000000011001001000000000000001000000000100100000000101010001000000010011100000000000000100000000101100000000000100101000100000100010000001000001000000000000000100000100000000110000000110100000010010001000000000100000001010000000101000100000010000000000000000000000000101000000100000000100100000000000101010010101000000000011010001001000000000010000000001001001010100100010000001010000000000000001000000101000000100010000010000000000000010000000000000001010000000000100000010100000100000010100000110001000000001000001000001000000011001000000100010100010000001000000000010010110000000000010000000001000011000000011000000100100100000001101000000000100000010001010110010010000001100000010100000000000001010001110001000000001100010010001000000000110101010100100000000000010000010000000010000010000000000000000000000100000000000000000001001110001000001110000000011001000000000000011010000011001000010000001	51619
Edward	Jones	4/14/1992	0010001000000001001000000010100100100000100010000000000100000100000100000000100000100000000011100010000000000011000001010000000000000000110000000001000000000000010010101000100010000101101000000001000011010010000100001100001100000010100100000000010000000100000100000001000010000010100010000100000000000000000001000000000010000100000000001000001011000000000100110000010010100000000000011000000000100100000000000000000100000000001000000101000000000010000001000001100000000000000000000000000000100010100000010001000100000000000000100100000000001000010000110000001000000000001000100011100000000000000010100000000000100000000010001000000000000000010000010001000000000000000000100000001010000000000010000000100000000000000001010000000000000011010001000101100000000001000100000000010000000010100000010000010010001010100000001000100000010000001000000000000000010000000000000100010000000001000000000000000000111011110010000001010000000000100100000001000000000010011000110100000000010010001000101010000100000000000000001000100000001000	11271
Jene	Harper	11/22/1984	0000010000000101000000010000000110000010100010000000100100000000000100000110000000010100000000100110000000100010000000000110100000000001000010000000000101000000000000010000000101010001001101000001000100000000100100100000101100000000000100000000100000101000000000000001000000000000110000000100000000000001010000100000010110101000110010000100001110100000000000100000011100000000000001000000010101010000000000000100011000001000000000000100000100000001000010010101000010000000000011001000000000100010000001110000100001010001000000100000001000000000010000000000001000000000110010100000000000001000000010101000000000010000000010010000000001000000100000010000010011000000100010100000000001000001000000000110000001000010000000001000100000000011010000000110010000000001010001000000001000000011100000010010100000000000100000000000000110000010001000001000001000010000001000000100000100011000000000010001000000000000010010100100000000100000000000000001000010000000101100110000000000010000000001001100010100000000010100001001000000001000	18534
Noel	Nelson	1/9/1992	0010000000000011001000000000000110000000100010001000000110000000000100000011000000101000000000101000000100000010000001000000000000000000000010000000000101010000010000000001000000000001100000010101000000010011000010001010001100010001100100000001000110100000000000000000000010000010000000100100010000000000000000000000000011001000000000000000001011100000001100010010010000010000000000001000000000100110000000000000010000000000010100001001000010000010000000000001000010000000000010000001000001100000010000010000000000110100000000100000000010001000010000000000000000000000000000000000100000000001100000100010000000000000010000000000000001000100000001000100000000010001000000100000000010000000000000100110000000000000000000100000000000100011010000000100001000001001000000000000000000000011101000010010000010001001000000001000000000011000001100000000001000010000001000000100000000000001000000000000001110000001111101000010000100000000100100000000000000000000001010100001000000010011000000000000001100000000001000000000100000001000	42796
Louis	Guardado	4/21/1990	0000000000010000000000000000000010000000100010000000001100000110000001010000000000001000000000101000000010001010011001000000100000000000000000000001000111000001000011100000010101001001001000001001000000100000000100000100101000010010101000010000000000100000001100000100001010000010100010000110000100000000001001000000010010000100000010000000001000100001000001110001010010100010000010100000000100101001010000001000010100000100001000000100010000001010001010000000000000001000000010000000000100101000110000110101000100010101000000110000000010000000000101100100001000000010000000100100100100000001000010100000110010001000001010000010100000000000000001100000000000000000000110000000010011000000000000000100000011100100000100100010010010000011001001000101000010000001000000000000010010000000100000010000100100010000110100010000000100001000011000001000001000011101001001010100000000110000000000000010100001000001010000000000001000000000001010010000001000000001001000010100010100010000001001001010000000000000000000101100010010000010	56167
Belinda	Phillips	6/2/1966	0001101001100001010000001000000100100000100010100000000110000011010000010100000001001010000000100000100000110010000000110001010000001000000010000001110000000001000100000000111001000001110000000000100000010001100100000011001000001010001001010000000100011010001000000000000010000000000011000100000000000000000000000000011010001000000000000100001000100000100000000000000000110000000010000000000100011000001000000000101100000010001011001100000010000010011000000001000000001000000100101000000010100000000000010100000000000000000000100001001000000000000100100000000000000010000001000001000100000100100001100000001010000000000000000000010100000000100000000000110001000001111010100000010001001100000100100110000100000000000000100100000000000011010000000100010000001101111000000000010011000000100010110100100000000000000000100000110001001100001000000000000010010000000000000100100100000001011000010011100000000000011011000101100000000000000000000000000010000010000000100001100000011111001001001000000000000001000000000000000010001000	25746
Arvilla	Sullivan	8/23/1946	0000000000000000011001001010000000000000100010000000001100110000011001010000100101000100000100100101100000010010000000110000010000001000000010000000000000000001100101000000010011000011010000000001110000011011100100000000001000001111000010000001011110000000000010000010001000001100100000001100100000100011110100010000110011000000000000000000111000100010100000100000100001000000000010001000001100000000000000000001000000010001100010010100000010000010000100000010010100000000001100101000000000101111000000010000000000000000010010100010001100010000000000111001000011000000000000001000000000010100100010100010000000000100000010000000010000001001100000000100000000000000000010010000110001001100000010100100010000000000000010010101110000000111000000000100101000000001010000000000011010000000000010010100000000000000100100000001101000000010001001000000000000000001000000000100001110000000001000000100100000000000010010100000000000000000000000000000000000000010101100010001000001010000001001011000000000000001001000001100000100001000	95710
Judith	Avans	7/1/1983	0000000000000100000000001100000011000000100000010100000100000100000001000100010100000000000000100001000000100010000100000010000010010011001000000000000100000001000000000000000010000001000000000000000000000000000010010000001000001000010010000000110100110000000001000000000000000001010100000100000001001001010101000000110010100000100010000100000100001000000100100000000100000000010000000000010001000000001001000000010000001001000000000000000000001000000000000000010010000000000010010000000100100111000000010000000001010000000000100000101000010000000000011001000010100000000000001010000000000000100000000000000000000000000000000000010010000010100100010000000010000000000000010000000000000000000000000100000001000000000000000000000000000011000000010100000000000001000000000001001000000001010000110000100101000000100001000000010010011010001100001000001100010000001000010100000110000010001000000100000000000000010010000000100100000000000000001001000010000000101110000000010100110000000010001000000000000001000000000000000000100001	94291
Tiffiny	Perez	3/25/1973	0000000010001010000000011000100001000000100010000000000101000110000000000010000000000100011010101000010100000010101000000000000110010000000000000000010000000000010000001000100101110101010000000010000000000100000000000010001000000000000000001000100110000000000000000010000000001101100000100101100000000000010100100001010010010000010000000000011000000110000100000000000001001010000001000000000101000000000010000000000001100000000000000100000000000000000100000001000000001001011001010100000011101100000001011000000100010011000010100001100010110001000100001100100000000000001100100000001000000001010001100010000001010000001000100000000001000110000000010001010100000000000010101000000001011000000000000100000010101010010000001000000000000111000100000100010000000001001100000000001100000000001010010010100000000000100010100100010001000010001100001000000000010000000000000100001100010000000000000000000000000100011110000000000000000000000010000000000010100000000000000000000000011000100001001000000000000001010001101101000000011000	81346
Rodolfo	McCullough	8/22/1987	0000000010100100000000001000000100000001100110000101001100000001000010010100110101011010000100100100000010100010010000011100100000101010000000000000000100000011101101000000000000000011000000000010000100100001100100100100101100101001000000000100000110001000100100000001001100000010000000000100000000000000010000101000110011101000101010001000011100100000110001000000011001000000001000101000000100000000000010000001010000000100000010000101000100000010000000010000000010000000000011001010000000100000000000011100100000000001100110111010000000000000000011000100000101000000000000100000010000010000000000100000100010000000011010010010000111000000100000000000000001100000100110100011110011000100001000000110000010010001000000010111010011100111010000001100001000000101000011000000011000000001010000010000100000000000000010000101000001000011011000000000000000001011100101000100000100000000000000000011110010000000010110010010000100000000100000000000001000100001000000110000000001010010000001000000001010000001001000000101110000101000	6294
Paul	Hardman	7/6/1971	1001010000001101000000001000000000000100100000000000000100001000000000001000000111000000000010100100000000000010100010000010000000000001000000000010010000011100000001101000100000100001000000000001000000000100000100100110001000001001000000010100100000101000010100000100100010000000101100110100000100101001000001000000110010000100000010010100000000010000000000100000000100010000011000001000010000110000000010100001000000001001001011010000000000001101000010000010110000001000000000000000001000100011010000010100000000000010000000100011000000100000000000000000000001001000000000100010000000010000011010000000000010000000000010001000000000000000000000010000000000100000001000000010100010000100000000100000000101000000000000011000000000000011000000000101010100000001000000000100000000000000000000010100001000000000100000000000000000011010001000000100010000000000000000000110000000000000010000000001000010000000010010010001100110110000100100000000000000000000101110010000011000010000001001001010000000100001000000011000000000000000	20361
Mary	Madison	1/20/1959	0000000000100000000100000110000010001100110010011000000101010100000000001010000100100000000100101000000000001010101010000000000010000000100000000000000110010100010001000001000000000001000000001001000000001011010110000000001010100100000010000100000010100010000000000000000010000000100000000100000000000000000010000001010010000000000000000000001000000001001001110000000000000000010000100000000100000000000000000000011100000000000000000100000010000000000000001000010100000100000000000100000000100011010000010100100000010000000000100000000000101000000101000000010000000000000000010100001000101001000010100000000000001000000010000000000000000000000101100000000000000000000010000000000001000000000000000100000001100000000000100010001000000011001100000100000010000001100000000010001011000001000000110000000000010000110010000000000100000000001000000100011000000000001010000100000000000001000000110001001000000001110000000010001100100000100100001010000000000000011000110001111000010000000011001000100000000000010000101000000000000010	5501
Mary	Horton	8/20/1987	0000000000100100000100000100000000000100100010010000000101000000001000011000000100100000000100101000000000001010100000000000000000100000100000000000000000000111010001001000000001010001000001000011000000001000000100001000101010000000000001000100000000001001000010010000001011000000110000000100000000101000010110000000010011100000100000000000011110000001101001100000100001000000010000100000001100000000000000000000010100000000010000000100000100001000000000101000000110000000010010101000000000100101010000011100100000000000000000110010110000101000000100000000010001000000000000010000010000100100000010100000000000000000001010000100000000000000100000100000000000010000000010000000000001010000000000000100000000000000000000000101011000000111000100001100001000000001000000000010001001000001000000010000000000000000110010000000000100000011001001000100011000000011000010000100000100000000000000010001000000000000110010000010000000100000100100001000000000000010011010110001100100010010000101001001000000000000011000001000000000101010	79418
William	Tilley	3/4/1978	0000000000001010010000011000100000000000100000000000000100000000110000010000000001000100000000100000000000010011000000101000000000011000010000100000010000000000110110001000010100110001001000000000000001010101000100000111001000000000000000000000101100000000000110000010000000000000000010110101100001100000010001000000000010000000000000000000000010000110111000000001000010100010001011000000100000000000101110100001000101000000000010000001000000100010000100000001000000000010000100001000100000100100100000010001000100000000000010110000000000110100000010110010010000001000000000100001010010010000101000000110000001000100000000000000010001000000000000000000000000010000100000001000000001001100010000000000000000000000000000101000000000000111000000100100000001000001000000000000101100000000101010010010000000000000000000000001001000000010001001000000000110000001000001010100010100001000000000000000000000010000011110001000000000100000000000000000000001000000000000100100000000010000000010000100000010000001000000010000100001001000	54473
Raymond	Whyte	5/9/1978	0000000000001000010000000000000001000000100000010000000111010000100000001000000000100000000011100010010000000010001000010100000000000000001000000000010001000010110100001001000000100001000000010010000001010110000000000010001110100000000111000000000000000110000000000000001010000000000000110101000001000000000000100001000010000001001100001000000000010000011000000000000000010000000000100100100010000010100011000000001000000000011000000101000100100001101000100000000000000000001010001011000000100000010000010000000100001000100000110000000010001100010010000000100000000000000000100000000000010000001010100000001001000000010010000001000000000100010001000000000000000100010000000100000000010000000000000010000100000010000001101101000000000111000100000100000101000001000000000000010000000000100000010110010000000010100000001001001001001110011000000010000000010000001001000100000000001000000000000000010010101000110110010100000001000100100100000010000000000000010000100000101000010001000010011000000010011000000000001100010000001000	9677
Wesley	Vanzant	3/18/1961	1000000001000100000000000010100000100100100000000000000100000000000001000000000100000100000010100000000000000011000000100000000000000000010000000000000000010001100000000001000100000001000001100000101001100000000000000100001000011101000000000100010000000000000000010010010100000000100000100111100100001001010000000000110011000000100000000000010000001010000101000000000011000010001100010000000000000000101100100000001001000001001010000001100010100000000000000000110000000000000010010000000001101011000000010001000100011000000010110000000000011100001000011010000001000000000000001000010010000100000000010011000001100100000000000000000000010000001000000000000010000110010000011000000000000000000000000000100000000000000001100101010100000111000000011100001100010101000010100000100110000010000000010010001000000000000000001010000000000111001001000101000110010001001000000101100000000000001000000100000001000010011010000100111000100000000000000001000000000100000100000000000000010000000000000000000000000001000100011001000000011000	96250
Bradley	Brown	10/5/1999	0000000000000000101101100010100000000100100100000000000101001101000000100010000000000001000010101000000000001010011001000000000000000000010000000000100001010000100100000000000100100001000001000000000000001001000010000010001100000000101000000010000000000000101000100000000000000000000110000100001000000010000010100000000011000000000000000100001100000000000000010000010000000100011000000000000100100000101100001000101001100001001000000001000010100010000000100000000000000000000000000010001000100001000000010000000000011000000000110000001010000001000001000000100000100000000000000100111010010000000000100000000001000000000010100000000100000100000001000000100000000000010000001000000010010100000000100000000001000011000000000000000000000011000000001100000010000001100000000000101011010001110000010011000000010000110010001000010000000000001000000101001110000001000000100100000000000001010000010010001000000000010000000000101001110000100001000000000000000010001100000001011000010000000000010000100010000000010000011000000000000000	81120
Teri	Campbell	6/9/1941	1001011000000000100000011000100000101110100000000000000110001000110000011010000001000101001001100001000000001010000000011000000010001000000000000000000001100000000100000101000001000001111000010000010100000000100100000010001000001100000110000100100000000000000100000000000000000010000000000110001100000000000000010000000010000000010101000000101010100000101000000000000000110000101000000000000001010010000000100000000100000000011011001000000010000010010000001001100000001000010011000001000000100110001001010000000001000001010000101001000001000000010100000100010000000010000000000000000000010000100000000000000010000010010000000000110000000000000001000100100000001001011000000000000000000001000000010010001100000010010000100001000010000111000100000101000110011001000000000000000000010000100000010110000000000010000001000001001000001000001000000100000010010000000100000100000000000000000000000000000000100000011111000100100000000000000000000000000001000000001000000000100010010011100000000000100000000101010001000001010000001000	53862
