GivenName	Surname	Birthday	tabminhash	uid
Darlene	Santana	2/5/1994	1010000110001011101010100111000111111101001001001010001101111100011100100111101010000010010111001001000011101010111011010110000110100011111111100110001010011001010011000111101000110100000011110001100001101011100011100010000001000111011110100010110101101011010100000000001000011010100110011010000101010111000110100000000100010101010100000101011111111111001100101101001010101111101001010001000111011001000110101000010010011110001100101000001010000010000110101100010100001010001000110011001010010010011100101001111000001110101011100010100101001001010101011100111100010001110001001101101100010101000011110110001001100001011100110101010111101001010111101000100000011001100011010101001001010111010010110010101001001110000011001101111000010111010011010111111010101000011011110000001010000101010111010100110100111010000011001000110100011110101111110101110010000110100000010101111100001010111110111001000000001111011011001111101000101001110011100101111011001110110101011010100111001110010011010011101011110011100010001001111100000010	23425
Laura	Houck	8/25/1991	1011100001001111101110110101001011010010010110001010001001110011011011000010001011001110111101011010100001101111001011010011110101101111110000101111110010011011101010000110010100001100001000010010110011010010001000010010111000001010011010101011100101000000000011110100110010111010101110100001101110111011000100010011110111100101000101011111010110111100011100111010100100101111001001101011110011100010110100101001010100100110111110110110000111000011000110000010011001011000110001001011010100110010001100010100001110111010111011100111100001000111010010110100000000011001111011101010011100011001000001010101010001010010100110010110011101101011111101000111101111100000001110010111101101110101110111101100111001110111101111000110010010100111010100111011111010111001011010100010100100110000001010000101101011000010011000011101101000100010000001110110111101001000000011000100111000101001000111100001010111110110101101010000001101000000011111100101010101100010010111100010111100100100101000110000000001010000000000100001111100010001	87639
Norman	Hopper	8/28/1949	1011111001011010000100100010011000111011111001000001000011111001001010110000001111110010101101101111101101100001001011111000101100101100110000100111000110011100000000110001011111000000111011111001000101101001111011011010001001000010101010010111101001100110011010111100011000011100010000100010000010111111111110110100001011111001100101001111001010100110101001001011100000101100011001000100110110001010100101101001010110111000001101001100101100100011010110100010011111011011001001101111010101111110110001010010111100111011000000001011100101000110000010111100011000011010111111001010100111001011001001100110111001000000101100100101001100111111100110011000101100000101101000000011100001000001111000101010101010101110100111010000011010000001010100001011110011101001011110000000100000100000001111011111001011001001011011001100000000000010110110010011101111001000101011011110011111010110111101101000010010101100001010010001111100111001010111111101110011100010010001100101110000000101111100110000000001110100110000000001011010010000	60559
Pearl	Lavergne	9/2/1965	1111011011001011110111100001000101110111100001110010000111111011001100010101001110010010000111100100111110111100111000111111101100100001100110101010011100001111111000101110110111111010001001110011100011001001001000101110001001000011101001110011010101010111100000110001110000111100101100000011010110111100001001011000110011100001010100100001010011110110101110110100101001101100011010011011011110000111100111100010001001111010110010010111101101100010001110011001110111110100101011000010000110011000010000010011101001101011110010101101110110010100100101110100010101110111010101011110100001000110001110100101110001001100100100010110111100100111100001001001111011000101000100001001101001010011101011101000011011111100011011011101000010001111011010000110101000100000011000100100101110100010011001010010101010100001000001011101110010011010110101110111110001110111101000010010111101011000000101101001100000010110100011010011000000111010010001100101110101101001110001110001000010001100011000010001000011100111110000110110111100000010	51619
Edward	Jones	4/14/1992	1011100001000011111010110101011100110100111101011000001110110111011011001110101001000100101000010101010001110001010011010000111111001001111111000110010000011000100011011111000000011011101111011011100100001111100000100001001000001111010000010011100101100100100111011100101111111101101011110010110010010011110100010000100000110111100101100101001010011011101110111010000111001101101010011111010111010101001110101011100110111111100111101000011010100010100010110001100000110101110000101110011100101111011100101000111010011101111000110010110000100000110000011100110001010001110101010111010100101100101010010101010011000010010100000101101101101100101001100101101010000011100001000001111001001010111101011110011100110110000111000110100111111100011010010011011000111000001111100111101110010110011110111011010001001010001110000000010100001110011010110100011010110101100000000100110100001010011111101000000111000111010110000111001000101100111110111101111011110001101100010001111011011011111001011001011011001000100100110010101010010010	11271
Jene	Harper	11/22/1984	1111110010100011101011101000001011110100011001000000010001111000011010010001100001111010111101100111101100110101001011110111101110000011110111101100000111001101110010000111101111111001001011011111000000000011001001011000001000001111110010010011111011000001010001110011110000101100101010100011001100011001011111110100011110100101110001010011010100110101101101000010000100000100011110001001110110111000100101001010000101011000110101000000100010000011011010101000111101010101110001111110001100001000110010100010000101010011100011100100000111001101010101101100101101010011000001010110100001111110111000100001000101001010100100000001111100111101100110010000010111001001100110001001101010010010000110100010011010011101111011101101000101010000010011000111101001111000011010110100101100100001101111001110111000011000100000001101101010100110110111110110011111001110101000010000111111011010110110111001010011111011001110001001101000111100110111101100111101101100111100011000110010000110011111110001111011110101101010010010110101010000	18534
Noel	Nelson	1/9/1992	0110100101011010011110010011001001110110110001000010001111110010110011011101100110100111001110001111001100100000010011010111110111100001110000100100000010001001010011011101101000111000101010011011101110111010101011010010001011101001110111100011110000110010100110111000010111011100101101100011110110011011101100110010001001100111010110001011001100010111101110011110110100000101001010111011011111110000100100111011111110010000011110001001011000000001000011110000000010011010100000100001011110111111111000101010111101001011111000111001010101001010000000011101010100000001111111011010110100100110101100000100010001010000110010101111110000000100101001100101001011110010100111000101111001001011010001111001011100100100011010011110100000001111010010100011101100101010001111110001001100110100010010101011111001011011000010111101001110001001010101011100110100010100001010000011111001010000101011100000001101000110001101101111011000000101110000101001111101011110110101011101111111001100111100010011001101010111010000011001111110010011	42796
Louis	Guardado	4/21/1990	1010110101001011111100000001111011000001000000001100000101111110001011000100100010010110100001001011000100100000100101010101001101100010010101100110110000001000011110000000010001101011111001010010100001100011101111111110010001000110001000101111101101101100100111100000001110100100000001001011111011001011011100100000000110100111000111000011011000111111100010011001100011101011111110001100100110011000101100001011011000101010100000011000101000100011101000010110111010110100100101011110110100111001011000000011111100011010111010000110100000000110000000011100110000111011111101111110001001001000111100110101101011101001010110011011000001000010000000100001001110001011101011001111101101010011110111100100100010000101010011001100111110101111111100101110111000000000011110100010110110100101001000100010110001011000000011000110100110000010101000110100100111011011100010010010000100000011010000100111000111110100110001000111001100011010101111111101110001011000010011010100011111001110110000011001001111001000011011110011011100010001	56167
Belinda	Phillips	6/2/1966	1110010101010100011101101001011000001101110011110000001101010001101110111111100100111111100101001110110001100001111101111011011110001100011111101101000111001100111000100101110101110011000100010000010110011101001001101001100001001110110111100011110100110010011100000000001100010100111010011000000100001011101111111001000111110001010010111011001000101010010100111001100011110010101111000100010011010011110101000110010110101111011100011000010001100011100000001110000110101011000101111000100111001000110000000111011000101010111010110100011110010100000011111101000100110111101011111100111001000000101010000100110001110110110010110110111110101110010100101010011001100011100101001011001001000111100011101111111110110111000011011010110010011111110010110010111000101000001110010010111101100101111100010100010100101011111011001111010011000011100101010100110010111110111001001110100111110100110110110001010100111000101101101011101100110000011111100001111101111000000010010010110110001100011100111000001001100011001110101110111100100000	25746
Arvilla	Sullivan	8/23/1946	0111000001100010110011100011101101111000110101100000001101101001101110111110101100010110101101011111101000110001101110011010110111011000111001000101001111010101011001000101001101111001001001010100100110000101001001101000010001001100101100000111100001011110101000101000000001111000110111110000010010010101100101111000011100010101100000000111010001101111111110001001100100101001100111000011000001101100010111001000100010000101001101111010000001100001000010000011110110000110000011110001000010001111100000100001010001111001011001101111100111111011000110001101001000110110111001010010001001000101001010010111110011001011101101110110000111111010001101011111111100010111100100010111111001100011001100001010111100100011010011010011001010011011010110100100101010101000000010010100101011100100111100000001000001100001011111101000100000010010010011100100110011011100101001100100110010001101011111111011100110000000111001010111011111001000011000100111110001101000100011000000110010101010111100011001010011000001100000000110000110110010	95710
