PERNAME1,PERNAME2,DOB_FULL,uid
phoebe,patel,12/24/1965,13242
freddie,patel,11/20/1988,20284
alexander,patel,2/10/1935,21198
matilda,patel,8/2/1964,18614
jessica,cook,8/2/1953,7435
aisha,cook,1/3/1971,5587
thomas,cook,8/7/1990,22671
sofia,patel,7/14/2002,24202
kayden,patel,8/17/1978,2660
georgia,cook,4/17/1930,5772
taylor,cox,5/7/1947,14207
tobias,cook,11/23/1978,16949
eleanor,patel,12/13/1994,1852
daisy,patel,1/27/1984,17448
rowan,patel,6/12/1954,791
connor,cook,9/22/1980,9269
scarlett,cook,7/1/1999,26000
sophia,cook,11/23/1937,5782
harrison,patel,8/12/1917,2239
matthew,patel,5/23/1951,16124
