GivenName,Surname,Birthday,uid
danny,hooks,4/27/1993,68130
booker,vaught,4/23/1937,81920
errol,robles,5/27/1968,99125
patricia,shaver,10/20/1957,46313
sharlene,gadson,1/9/1938,41926
chester,mayhall,7/31/1963,51379
walter,daugherty,3/12/1957,28334
marilyn,krause,7/28/1998,85968
marilyn,humphries,1/19/1993,13622
luther,sacks,6/27/1989,97232
martha,winters,8/12/1996,85455
herbert,jump,10/12/1962,22401
joan,powe,7/16/1939,13582
irene,schrock,3/24/1988,29341
virginia,stuckey,10/18/1979,92652
beatrice,salas,8/16/1987,93984
frances,mcknight,2/17/1974,90901
raymond,cosgrove,7/15/1955,43769
christopher,hight,8/24/1940,43387
christopher,thacker,5/18/1998,14772
brent,lawhorn,11/27/1970,63
michael,walk,8/16/1972,89769
dwayne,adcock,12/18/1994,10153
miguel,hawkes,11/26/1996,99331
valerie,rosenthal,7/26/1986,611
maryann,starks,1/17/1990,34989
vernon,parisi,5/14/1959,37718
andrew,fullilove,1/4/1976,91039
jonathan,babcock,2/19/1997,27104
johnny,brun,9/13/1983,63743
nicholas,coffelt,10/26/1980,91042
gregory,hatchett,1/26/1991,23767
sally,combs,5/13/1983,21516
bobby,harms,8/2/1954,57597
marcia,hopkins,1/13/1993,11523
celeste,philpot,4/2/1976,45896
bobby,gast,3/7/1937,91584
charles,sloss,10/17/1937,15994
frank,burks,4/22/1992,97662
thelma,winders,6/27/2000,33573
cathy,snead,1/23/1997,29833
patricia,glidewell,3/15/1948,73009
robyn,loucks,3/20/1974,3321
joshua,mcginnis,3/22/1995,83915
patricia,mcghee,2/20/1945,59670
charles,goode,10/25/1947,57429
francisco,filkins,2/27/2002,47106
paulette,heimbach,4/30/1944,10075
kathy,bills,2/23/1958,5485
rose,gump,5/13/1949,73578
clarice,fessenden,8/1/1965,6569
geraldine,brothers,3/29/1975,71559
lawrence,pulver,5/22/1990,78786
henry,kerns,10/18/1959,22315
carolyn,bergman,2/28/1942,53865
jeffrey,aguirre,4/1/1955,80997
phillip,youngs,8/29/1997,22168
abraham,roach,6/5/2001,64868
francisco,nadeau,10/20/1962,70432
leonard,hertzog,1/10/1951,81841
arthur,hull,4/13/1986,93775
maisha,sprinkle,6/17/1989,38567
william,biggs,12/15/1979,65934
wesley,viator,1/22/1993,73037
cathleen,haight,3/27/1964,3134
patricia,sorenson,1/16/1944,12482
stacey,spengler,1/14/1991,80579
timothy,morin,1/29/1938,42140
steven,leach,9/18/1937,27445
constance,cummings,11/28/1956,25519
michele,pickett,5/30/1988,28490
cynthia,loftus,7/21/1986,64081
amanda,weis,8/2/1939,60636
charlene,cummings,5/16/1943,54149
tommie,gossage,10/25/1999,59425
william,dodds,1/25/1992,51589
anthony,crook,1/8/1941,36678
jesus,ball,1/1/2000,2050
sharon,baier,9/10/1993,73244
benjamin,bigham,3/29/1964,18774
richard,guillory,7/15/1940,54554
deborah,morin,9/27/1966,1844
deborah,stadler,3/29/1991,16426
debroah,shearer,3/27/1973,10840
alberta,mcgee,1/15/1998,65788
brian,mcguffin,10/31/1956,96059
margaret,calles,6/15/1972,49761
scott,schrack,2/23/1990,91423
curtis,guillot,9/25/1971,38348
lois,nold,5/18/1956,95240
beatrice,schmitt,5/1/1974,7445
latasha,franks,5/27/1954,51123
margaret,killough,1/9/1988,72777
angela,corns,2/26/1948,90259
ernest,bonds,1/29/1944,27733
edward,carrillo,5/26/1967,34247
veronica,hopkins,12/23/1962,54642
connie,garber,4/1/1976,94504
jeffry,galvan,7/19/1942,12533
moses,vigil,5/1/1941,39468
eugenia,mendez,4/16/1967,27399
randall,fournier,10/25/1959,38368
vicenta,knott,7/2/1983,40196
douglas,pitts,11/25/1998,39327
wilbert,granberry,6/13/1951,57838
theodore,galindo,4/13/1982,4963
jacob,hair,7/30/2001,5850
deborah,peacock,11/26/1977,11313
eugene,zuniga,5/10/1992,50355
kathy,pond,4/24/1976,45401
jeanette,brassard,2/14/2002,12690
irene,heck,2/16/1998,66028
richard,vasquez,6/21/1940,38582
eric,funk,10/16/1998,50546
theodore,sprouse,5/28/1983,27672
howard,bourque,2/28/1980,44416
steven,mangold,4/15/1973,10578
corliss,kratzer,7/27/1993,11693
benjamin,stapler,8/15/1949,94054
elizabeth,hoffer,3/2/1997,61682
jeffrey,mehta,2/17/1953,70981
whitney,katz,6/19/1941,62955
arnoldo,calderon,12/23/1966,3046
charlotte,whitlatch,11/24/1986,34607
robert,crooks,8/19/1988,46149
john,huff,5/23/1986,87962
steve,mccomas,3/18/1996,73858
regenia,mccown,12/26/2003,47345
james,guest,2/15/1986,81725
travis,guillen,3/20/1995,8340
georgia,upchurch,9/16/1971,70302
corey,rabinowitz,7/24/1992,74857
catherine,mcwhorter,6/2/1988,19380
susan,wymore,6/23/1982,53827
gladys,napier,12/23/1983,38277
catherine,mccaulley,4/22/1949,41238
richard,trout,6/4/1966,50114
timothy,hymel,12/23/1976,11698
florence,benavides,2/3/1968,75214
bernard,bueche,5/23/1963,97019
conrad,cormier,1/23/1977,76385
joshua,scruggs,10/15/1982,80301
