uid,identifier
51548,nelsonkay911948
62480,williamcourter10121943
40776,angeladoll1241976
27197,russellhaynie4161987
45689,jennifersmalls5301997
1318,chrispowell3291944
16099,sylviadaniel5221982
91626,susanpolitte251948
6502,warrencue5301958
1118,judyporter4271987
82077,rayburnett12241990
14404,danmarchese281966
90492,tonydeberry8101974
15642,gloriacarter1271958
96178,laurafleming1141959
50003,kylemccabe6181974
40279,avaweitzel9181950
98492,murielbrown12271967
38698,michaelwilson8261966
84872,jesseholler9281954
61052,chrisfrey2171994
52116,johnbussell2141998
90289,paulaboucher7251997
1360,irmawhite3211937
37963,elizabethlayman6291974
29362,lindaduggan10141982
88802,kathydavis3281956
94205,bennybauer6271994
84298,tammycarr7271964
18272,robertchambless7241951
80638,judithstamps1151987
24588,justinparmelee821937
42874,johnmartinez11271983
5959,dennisburrell1251990
85138,sherrylisle1281990
30207,raymondmccoy8121983
8998,henrydingle7141978
36288,franciscorobey2101945
12694,lelanddavis6101987
87935,joycepridgen791975
47070,scottriley9242001
73133,lewismorton12311948
5479,sadewilliams5291996
71391,joehartle431993
62585,marialansberry411977
94341,ritakelly12201940
96198,annhill1171958
72102,leroysmith1271964
8045,annmarieflores9231950
79020,jaimehirschman4101957
26416,marylyke8271950
94697,edmundlopez711945
39988,ericmartinez2251996
32979,alicemoore5271960
77764,janelitton4231951
14167,davidcastillo1151987
65251,jamestreat5161957
99495,maryhill11241953
7965,johnstallings4221995
32975,marythacker2171980
47516,jonathanbaker12251993
99637,helendavis5141967
45527,benjaminmeyers9171968
5115,wandahaley261976
40312,richardhurley1211967
20305,peterschmidt10131958
18085,norasullivan8311948
40635,michaelgreen9201967
84420,kimberlygibson6141982
32323,johnneely8101953
71274,leehall2131964
42942,melissadumas221986
72685,austinbelford10211954
84307,scottsmith11221948
1839,sethmiller8131974
1682,fredasmith4221958
67201,robinmiller10281973
38025,jenniesolis6231994
11975,mariahutchison231953
49740,arlinepratt3241961
40528,dorothysanchez5141958
42078,ronaldshafer6201990
98350,johnlopez8221945
27839,roberthancock4151940
44058,jerrynichols12251971
28230,josehargrove4121955
20957,richardgrover7151938
524,annbrewer281992
68464,chriscole811993
64509,jamesholleran1161942
8223,thomasmercado6281942
29573,stevenmiller6231944
37907,josephwilson2251941
94234,dennisstanley2241966
