uid,identifier
16642,rachelpearce10181965
899,davidrivera711988
86328,ruthbrown7281938
80165,katehandy10241965
83257,samuelsouth7131996
77530,andrethompson391972
35550,billycross2281944
23194,celiawitte5121958
90339,raypowell8261949
2961,micheallopez12201980
36716,jamesfischer12211986
22533,lloydwilson7271950
20314,josebolen4151943
35959,brianhavens8301947
78398,bobbysmith8141966
94250,randallsmith1251949
2273,marybrown3291975
65473,sandrafloyd3231948
171,erinlittle1211979
30179,debrajones311974
47469,thomasivey6271989
8998,henrydingle7141978
89577,davidbaker5251980
52835,anamatthews411937
96198,annhill1171958
19775,robertlinn911983
88052,victormiller2151938
53257,jamesmullins6121947
42090,danielblake1231960
45506,josewalter351958
40589,michaelwatts10281966
56918,rebeccahailey4131972
52610,renedecker11201957
34129,johnmorris12291945
63539,jeffreycaviness261974
96977,louiseden12201995
73307,taracairns1141963
99041,davidbrian3261994
29372,williambanks1051983
49229,jimmypeters921944
60191,ralphaustin7161958
87759,johnmclaughlin511954
7646,calliebartos2131990
75123,jimmywise10281939
10478,danmoir7261967
65337,jerryadams12281986
62249,josephowen1281963
61012,mildreddiaz8221940
74206,berthanieto10131989
85369,marybrown8141952
34767,lindacontreras3161997
190,mikeclayton3231994
71847,codykelly3261963
36361,rodneyscalise7241966
33405,lindasacco12241957
87433,marystich1271980
74142,josephallen331974
47430,johnwallace161970
60468,salvadorscott2211940
49323,lonniepitts1061997
26927,bryceheard12271943
66759,marymoore3221974
70269,anitawells1241955
25438,randysmith1271960
42099,susanpatton7241939
12479,cynthiadeas4121944
80260,billvance10241977
95468,norawalton411990
48576,davidburgess1141979
53620,melissaryder211953
50314,andygray5231997
5305,josephbarnes7251946
80413,williammathis3251966
99756,briancollins8201955
26011,idastanley5141956
5570,brendahall7151986
98193,phyllisrodriguez12241973
12396,johnjerkins3171985
14890,jamesenriquez4231968
43560,joycecarrell12151986
33583,marywilliams1271975
1240,johnschultz1121990
53029,davidlee1031988
