GivenName,Surname,Birthday,uid
edward,peavey,11/28/1943,68776
vincent,whisman,8/14/1998,43236
dennis,mcmurray,7/12/1945,48365
matthew,aiello,7/26/1993,17741
francisco,arroyo,2/25/1998,40159
robert,vaught,6/18/1982,52344
william,mcmullen,8/1/1968,32765
cindy,pruett,5/28/1972,46847
howard,parenteau,9/8/1981,14151
elizabeth,keys,1/13/2003,88160
deborah,laclair,2/14/1970,79122
shandra,poole,8/19/1978,5213
cesar,payan,3/29/1971,64069
irene,heck,2/16/1998,66028
thomas,borowski,2/27/1973,77932
teresa,murchison,1/23/1951,50762
margaret,vollmer,9/29/1966,96603
