GivenName,Surname,Birthday,uid
rudy,host,2/17/1992,74867
francisco,gooden,8/22/1942,33800
isaac,pinson,2/28/1983,46877
sharon,hopkins,10/15/1993,61302
corey,bevill,9/8/1998,47195
michelle,saylors,5/16/1982,84378
judith,palazzolo,3/15/1991,72185
wayne,bostic,9/10/1950,51544
emily,katz,7/1/1954,95560
jason,doody,8/16/1965,30417
jonathan,haugen,8/29/1938,72769
stephen,grow,7/29/1968,37202
warren,goldston,7/10/1995,92401
bradley,pena,6/20/1950,65957
valerie,burleson,3/24/2000,64507
danny,hooks,4/27/1993,68130
mitchell,cloutier,2/1/1970,14876
charles,dressler,2/24/1974,17286
lorinda,bankhead,1/7/1942,80917
brandy,morrone,2/20/1937,29193
vanessa,combs,7/28/1990,114
nicholas,metheny,2/15/1986,64335
roberto,mifflin,4/15/1974,27328
kenneth,peacock,4/27/1995,9081
gregory,bechtol,12/17/1972,14
latisha,hosler,1/17/1974,22255
beatrice,hammer,1/18/1939,94794
william,lasher,5/25/1970,52904
lenore,wroten,8/1/1997,54991
andrew,bickford,10/26/1978,48662
milagros,rios,2/20/1975,76749
michael,crum,1/30/1986,91410
bernice,dye,3/19/1952,9250
jonathan,shackleford,1/9/1982,53262
deborah,schiavone,2/25/1974,85568
mildred,vanderpool,2/26/1955,79978
maria,botts,6/10/1941,28671
vernon,whitehouse,12/23/1952,80712
arnoldo,calderon,12/23/1966,3046
stephanie,metcalf,1/27/1963,11282
margaret,gribble,2/27/1952,27467
virginia,height,3/1/1955,66762
helen,custis,9/24/1997,18340
shirley,woodyard,6/17/1963,31042
leonard,cummings,9/24/2003,49241
katheryn,ratliff,5/29/1968,8209
kimberley,follmer,12/27/1939,85805
bernard,ratliff,7/14/1968,42183
craig,bartsch,8/23/1941,14176
keven,black,12/16/1983,21361
mitchell,vargas,10/26/1976,48215
william,biggs,12/15/1979,65934
megan,zeman,3/18/1959,76099
ruben,groce,11/24/1983,20529
milton,mcneese,10/31/1994,14532
edward,melanson,1/14/1998,28730
emilia,spratt,1/10/1964,90056
rosanne,graybill,5/22/1939,60629
margaret,goldner,9/26/1963,45455
michele,schofield,4/18/1942,57705
richard,cloutier,5/20/1965,78449
russell,cannady,8/24/1980,22680
gilbert,davenport,4/15/1960,44832
jonathan,yeung,7/26/1997,62782
margarita,husted,9/25/1949,58604
carmen,ziegler,7/29/1947,44980
priscilla,goins,9/4/1946,5292
elizabeth,raap,12/25/1960,16162
cynthia,rosenberg,5/13/1985,86269
charles,dorgan,7/29/1965,23334
sylvia,cates,6/28/1977,45445
marsha,souza,4/23/1967,29406
victor,cox,4/12/1967,24465
kristen,costillo,4/19/1937,36765
jackie,urquhart,6/29/1945,61874
patrick,stern,8/14/1973,70621
bonnie,meister,9/14/1996,59694
janice,newbill,7/25/1988,84874
antonio,vogel,6/14/1958,22271
wilbert,granberry,6/13/1951,57838
anthony,small,9/28/1978,90862
howard,deas,3/25/1952,51793
edgar,begin,1/2/1970,67031
francis,gonzalez,3/2/1980,83194
michele,parsons,4/27/1959,53993
benjamin,fink,7/25/1951,67138
jorge,arroyo,3/10/1999,51874
katharina,cockrell,3/31/1983,42354
alexander,schroyer,4/2/1989,35541
patricia,obregon,8/26/1967,57288
phyllis,pickett,9/10/1940,19969
mitchell,feldman,1/28/1972,62592
judith,wyckoff,3/26/1987,74912
violet,mcmann,10/21/1971,33357
walter,kaufman,1/17/1952,34693
elaine,lett,2/18/1938,84791
pauline,condit,5/14/1999,17222
cristen,orosco,6/20/1971,69547
benny,godbey,8/17/1997,19601
stuart,laffey,11/27/1953,9859
william,banker,12/23/1955,89504
vernon,hopkins,6/28/1953,60683
michael,dunkel,7/18/1982,62610
vanessa,ousley,8/28/1957,50075
lorraine,brackett,9/28/1998,57479
dorothy,yoder,12/15/1948,93058
stephen,barrows,9/13/1978,61719
corliss,kratzer,7/27/1993,11693
viola,schultz,8/25/1985,8815
marcia,aponte,7/31/1964,60397
priscilla,capel,1/12/1972,83274
margaret,lorenzen,5/22/1944,17586
kelsey,mcgrew,3/10/1952,83158
delinda,horning,5/10/1948,6836
virginia,irons,4/21/1960,7492
nancy,saito,5/18/1969,9591
kathryn,palacios,9/2/1959,4030
rafael,spinks,1/30/1975,84385
angela,goins,5/1/1978,77737
josephine,scarbrough,5/1/1957,10141
laurie,mcphee,6/10/1987,94769
david,gaeta,7/12/1970,79808
william,currier,1/23/1937,86848
rafael,cusumano,11/22/1946,52743
bernice,blaylock,2/14/1976,19736
blanca,mckissick,4/29/1977,77905
nanette,meisel,2/13/1964,42545
karren,wilcox,7/24/1942,20284
letitia,vasquez,12/20/1971,71041
rodolfo,leong,9/17/1939,5487
bonnie,combs,5/9/1951,3931
keith,forte,8/13/1972,95948
connie,roundtree,11/22/1962,46322
rafael,wiese,8/13/1954,80461
brandi,grimes,8/17/1960,89589
kelly,baca,9/18/1940,66890
youlanda,artrip,8/20/1962,98612
cordia,gause,6/1/1962,58066
nicholas,cunningham,11/30/1994,37436
matthew,mcginnis,2/13/1984,97907
scott,towner,6/29/1991,46379
francisco,acevedo,12/17/1969,70468
kevin,blalock,10/28/1958,28493
russell,mercado,5/17/1991,7467
patricia,toole,11/25/1969,10862
clarence,lamy,7/12/1965,35512
estelle,strang,6/22/1950,12603
nancy,shultz,3/15/1940,71220
ronald,pruett,5/24/2002,31158
andrea,pohlman,11/27/1965,56168
ramona,zimmer,3/15/1999,91827
morris,dunning,8/22/1987,60756
teresa,pilgrim,9/22/1982,73229
herbert,brockway,8/27/1985,20353
earnest,foust,11/26/1960,89146
heidi,coulombe,8/17/1991,95022
edward,castillo,10/26/1977,45290
hector,englert,6/18/1991,1623
ronald,croteau,11/23/1941,21856
jason,hoey,4/1/1957,63227
alfred,kight,2/2/1941,9033
courtney,ball,11/30/1991,64747
betty,olmo,6/23/1978,37595
ernest,figueiredo,7/13/1980,53375
esther,bays,2/21/1956,96964
richard,brower,2/23/1982,2032
clayton,dodrill,1/17/1944,83050
craig,stern,9/23/1943,10789
bonnie,hinds,3/7/1961,6179
katherine,weil,4/26/1938,31580
porter,poore,12/30/1975,95696
richard,villegas,10/20/1949,18010
felipe,englert,6/25/1996,68731
ronald,crump,9/15/1965,7100
dorothy,sisk,3/23/1976,69167
william,bounds,4/17/1953,62185
lewis,mucha,1/22/1956,30659
catherine,mendoza,10/18/1949,51395
carolyn,lesniak,4/20/1999,81509
elfrieda,bridgeman,1/22/1987,37723
lucille,parra,7/28/1988,38390
alvaro,buffington,2/20/1947,757
johnny,delgado,6/1/1953,50176
debra,pietsch,5/24/1949,14402
adrian,mcgriff,8/22/1987,20011
jerome,mullen,11/28/1995,94265
melinda,fritch,10/13/1938,55653
mildred,small,6/21/1938,90496
edmund,cone,7/21/1941,80747
matthew,woodrum,8/22/1963,84436
deborah,rew,12/18/1952,57986
edwardo,mcauley,6/24/1951,7775
richard,poovey,10/8/1988,92802
veronica,zavala,1/10/1960,33525
david,dykes,1/20/1970,52077
dianne,geis,10/17/1973,19041
josefina,sikes,9/2/1967,39506
robyn,loucks,3/20/1974,3321
kenneth,diehl,12/26/1954,89820
phillip,morales,5/24/1974,45016
richard,westcott,4/28/1940,35385
william,dodds,1/25/1992,51589
william,hayter,6/2/1974,57726
sterling,weigand,11/20/1994,20156
julie,rawls,4/22/1944,22817
natasha,olivares,8/25/1983,5217
rosalyn,bunch,6/22/1969,3113
tamera,fitch,11/26/1974,99785
edward,carrillo,5/26/1967,34247
andrew,hurt,8/4/1985,30412
christopher,kimes,3/20/1971,61566
brandon,register,1/17/1952,62456
deborah,portillo,5/24/1948,21721
stacey,spengler,1/14/1991,80579
hector,schmidt,12/18/1985,48157
clarence,schmitz,8/13/1994,4970
brian,soto,6/6/1982,67712
virginia,sterrett,5/23/1981,70042
kevin,crowe,5/28/1967,17560
kimberly,mooring,1/1/1977,31119
roberto,bayer,9/10/1980,48519
vincent,stroud,7/1/1989,86861
vicky,hassler,4/19/1958,20570
rafael,peters,3/21/1998,54298
charles,oldham,1/25/1981,24355
