uid,identifier
2855,johnsharkey8241977
93709,davidware2131989
38094,johngreene12271975
14570,cathyjones2281991
63543,thomasbanh10151987
50598,melissabenton2101943
16254,beverlymorin9131966
96425,robbiemiller3171982
23012,nickbrown7311950
40529,cindyford1231998
69086,davidreyes8221958
94598,paulcortez12231979
18647,shawnhull1011997
73178,olliethomas9231967
54188,sandragreen1151960
44802,johnpayne5231997
36572,jangray12211937
41437,judycarney12231959
8494,eulafolden1041983
95783,angeliahale2231969
41329,williamberry10171969
95468,norawalton411990
18032,kerrismith12241963
53510,ryanseiler4181945
53082,johnmoseley4181963
96426,mikejohnson3241943
89501,daniellesilva7141967
12297,kenthandy10211954
42939,sheilawatson851993
52251,jerrybrown10141989
42548,glennasills691983
60132,loiscuffie641970
7276,ruthbrown821973
74811,lelastowe10131952
29995,deloressmith1221974
54052,sharonwilder10181995
73441,juandickson10151968
